1854,Dinghy Frostbite New Year's ,Overall,/reshyc/2023/dinghy_frostbites_nyd_overall.htm
1855,Dinghy Frostbite Spring,Overall,/reshyc/2023/dinghy_frostbites_spring_overall.htm
1856,Brass Monkeys Spring,Overall,/reshyc/2023/brass_monkeys_spring_overall.htm
1858,Brassed Off Cup,Main Fleet,/reshyc/2023/open/BrassedOffCup/main.htm
1859,Brassed Off Cup,Combined,/reshyc/2023/open/BrassedOffCup/combined.htm
1860,1720 Eastern Championships,Overall,/reshyc/2023/open/1720Easterns/overall.htm
1870,Howth 17 125th yr Race,Howth 17s,/reshyc/2023/open/17s125.htm
1887,Lambay Races,Class 1,/reshyc/2023/open/lambay/class1.htm
1888,Lambay Races,Class 2,/reshyc/2023/open/lambay/class2.htm
1889,Lambay Races,Class 3,/reshyc/2023/open/lambay/class3.htm
1890,Lambay Races,Class 4,/reshyc/2023/open/lambay/class4.htm
1891,Lambay Races,Class 5,/reshyc/2023/open/lambay/class5.htm
1892,Lambay Races,E Boat,/reshyc/2023/open/lambay/eboat.htm
1893,Lambay Races,Puppeteers,/reshyc/2023/open/lambay/puppeteer.htm
1894,Lambay Races,Ruffian 23,/reshyc/2023/open/lambay/ruffian.htm
1895,Lambay Races,Howth 17s,/reshyc/2023/open/lambay/howth17.htm
1896,Lambay Races,Squibs,/reshyc/2023/open/lambay/squib.htm
1897,Dinghy Regatta,Mixed PY,/reshyc/2023/open/dinghy_regatta/mixed_py.htm
1898,Dinghy Regatta,ILCA4,/reshyc/2023/open/dinghy_regatta/ilca4.htm
1899,Dinghy Regatta,ILCA6,/reshyc/2023/open/dinghy_regatta/ilca6.htm
1900,Dinghy Regatta,ILCA7,/reshyc/2023/open/dinghy_regatta/ilca7.htm
1901,Dinghy Regatta,Optimist,/reshyc/2023/open/dinghy_regatta/optimist.htm
1902,Dinghy Regatta,Feva,/reshyc/2023/open/dinghy_regatta/feva.htm
1913,Gibney Classic,Overall,/reshyc/2013/open/gibneyclassic/class1.htm
1919,Howth 17 National Champ,Overall,/reshyc/2023/open/h17nationals/h17.htm
1920,Double Handed Race,Overall,/reshyc/2023/open/doublehanded/overall.htm
1924,ILCA National Championships,Competitors,/reshyc/2023/open/ilca/Competitors.htm
1925,ILCA National Championships,ILCA 4,/reshyc/2023/open/ilca/4.htm
1926,ILCA National Championships,ILCA 6,/reshyc/2023/open/ilca/6.htm
1927,ILCA National Championships,ILCA 7,/reshyc/2023/open/ilca/7.htm
