2053,NYD Dinghies,PY Class,/reshyc/2025/open/nyddinghy/py.htm
2055,Dinghy F'bite Spring 2025,PY Class,/reshyc/2025/open/springfbites/pyclass.htm
2058,Dinghy F'bite Spring 2025,Melges 15,/reshyc/2025/open/springfbites/m15class.htm
2059,Dinghy F'bite Spring 2025,ILCA ,/reshyc/2025/open/springfbites/ilcaclass.htm
2062,Brass Monkeys Spring Series,Overall,/reshyc/2025/open/BMspringseries_overall.htm
2063,Dinghy Round the Island,ILCA Class,/reshyc/2025/open/RTI/ilca.htm
2064,Dinghy Round the Island,PY Class,/reshyc/2025/open/RTI/py.htm
2076,Brassed-Off Cup,Optimists,/reshyc/2025/open/brassedoff/optimist.htm
2078,Fingal Series,Overall,/reshyc/2025/open/open_fingal_overall.htm
2080,Lambay Races,Puppeteer 22,/reshyc/2025/open_lambay_pup22.htm
2081,Lambay Races,Howth 17,/reshyc/2025/open_lambay_howth17.htm
2082,Lambay Races,Squib,/reshyc/2025/open_lambay_squib.htm
2083,Lambay Races,Class 0,/reshyc/2025/open_lambay_class0.htm 
2084,Lambay Races,Class 1,/reshyc/2025/open_lambay_class1.htm 
2085,Lambay Races,Class 2,/reshyc/2025/open_lambay_class2.htm 
2086,Lambay Races,Class 3,/reshyc/2025/open_lambay_class3.htm 
2087,Lambay Races,Non Spinnaker 4,/reshyc/2025/open_lambay_ns4.htm 
2088,Lambay Races,Non Spinnaker 5,/reshyc/2025/open_lambay_ns5.htm 
